p1_good	p2_good	p3_good	p4_good	p5_good	p6_good	p7_good	p8_good	p1_poor	p2_poor	p3_poor	p4_poor	p5_poor	p6_poor	p7_poor	p8_poor
200053_at	1585.9	2255.4	1949	2315.6	1922.4	2287.9	1629.2	1878.6	2727.8	2378.4	2247	2316.3	2337.4	2201.7	1954.4	2776.6
200054_at	706.1	707.1	735	564.2	624.8	689.1	507	636.2	878.7	987.5	717.7	725.1	624.1	676.8	735.9	804.9
200055_at	3341.4	4493.4	2031.3	3963.7	4010.1	3317.5	2178.5	3225.2	5800.3	5587.5	3153.7	6206.3	2937.2	2849.6	5727.5	5581.7
200056_s_at	1871.7	471.8	1854.4	1094.3	854.1	989.7	1395.4	661.3	1560.3	1095.6	1962.8	871.4	1482.4	1898.4	659.5	893.8
200057_s_at	13865.3	14421.7	12629.5	14134.7	16266	14776.1	13830.7	16464.5	12076.4	12733.2	12404.1	11467.9	12008	12513.6	11377	11509.9
200058_s_at	6614.7	5028	4060.3	4116.8	5286.1	4617.1	4450.7	5634.5	7091.8	6249.8	4298.9	6040.3	4051	4535.3	6021.1	5036.4
200059_s_at	27463.2	19187.1	22622.6	24281.2	26729.3	32073.2	26772.9	20699.4	21457.7	24646.8	27043.5	27042.9	29541.8	27824.9	19433.2	17525.3
200060_s_at	7409.9	7041.1	6819.9	6742	6348.4	7021.7	6654.7	5954.3	10483.3	9979.6	7031.1	10560.7	6974.6	7216.9	7896.2	8870.7
200061_s_at	56593.3	52613.3	47123.7	50499.3	71098.5	64306.6	65255.8	72372.6	62491.1	53478.1	54841.4	63942	38319.4	46802.3	44636.9	48138.1
200062_s_at	85515.3	82544.3	71525.7	79796.3	100789.3	104495.6	95341.1	109495.5	95269.6	78297	79741.6	94851.3	58194.9	69834.6	69906.5	67449.2
200063_s_at	28271.2	26823.2	27196.6	28017.2	27290.1	24952.2	33488.4	24611.9	24963.6	18580.7	24914.6	33070.6	22019.2	25540	20333.8	17217.4
200064_at	16983.1	23126.8	15634.5	23714.1	27203.8	18029.1	16057.8	19151.4	13938.5	13941.1	13702.5	29031.8	16277.5	31921.2	14692.2	18433.2
200065_s_at	9541.8	8153.7	6643.4	11175.4	11784	7850	7391.4	8793.4	13356.3	10990.1	7188.7	13232.3	5721.7	10800.1	7727.2	9020.6
200066_at	3729	5003.1	5103.2	6162.5	5329.5	5184.4	4374.7	6988.6	3591.2	2272.9	5370.4	3479.5	3892.6	5477.9	3211.1	2666.4
200067_x_at	9098.1	7117.9	10956.1	11415.6	8177.5	14369.1	12730.7	9231.4	8131.7	7582.9	16502.7	10593.2	5404.8	8442.8	6656.8	8147.6
200068_s_at	7157.5	9258.4	7731.6	9004.5	8558.2	9416.1	9069.9	8987.8	6095.8	4344.9	7400.9	8259.9	9379.7	8639.6	6743	7851.9
200069_at	2796.8	2489	3571.7	2798.8	2333.5	1843.9	2128.1	2780.3	2175.8	2118.5	2054.6	1987.1	2072.3	3205	2276.6	1751.6
200070_at	4128.4	2403.7	2355.9	3011.1	1743.8	2435.6	2842.2	1939	3720.9	2461	2572.3	1507.6	1973.9	1585.1	3028	1887.8
200071_at	5455.5	1760.4	3678.7	3083.3	2459.1	2454.8	3209.5	2935.3	4517.1	3445.4	3962.6	2651.4	4134.1	4211	1896.6	1861.3
200072_s_at	8013.9	8605.9	6646.4	8073.7	8563.4	9482.6	8312.5	10341.6	8842.8	10549.3	6970	10106	5717.6	7818.2	8110.5	7246.9
200073_s_at	11296.1	10533.3	12711.5	11617.7	8073.1	7118.3	10577	10534.8	9889.6	8762.8	10242.7	8456.5	10412.3	8873	7224.6	4893.7
200074_s_at	32738.6	17990.5	24666.8	36373.7	40255.7	37330.4	39634.1	30558.4	28241.3	20352.5	28974.9	26483.5	20890.2	31334.9	18150.1	21390.1
200075_s_at	1411.4	1442	897	1319.6	1444.9	835.8	1125.9	1043.9	3233.3	2456.9	1088	1534.4	999.5	848.6	1938.7	1587.9
200076_s_at	1257	1382.3	836.5	1637.3	1548.6	1536.4	1242.5	1488.5	2088.8	2396.4	1370	2225.7	1263.7	1469.4	2095.7	1442.9
200077_s_at	16082.3	26599.6	26750.5	30684.3	31088.6	32013.9	27261.9	33820.8	9013.3	16931.5	31410.2	37950.8	25444.7	27714.5	26961.3	27604.9
200078_s_at	2496.2	3368.1	1885.3	2920.9	3299.3	2435	2361	2417.3	6540.3	4039	3413.2	5501.4	3357.7	2465.2	3834.3	4613.3
200079_s_at	6062.6	6107.4	5566.6	6855.1	6502	5626.7	5184.7	5878.5	4862.2	5158.6	5646.1	6467.4	4865.2	5999.4	4541.9	4944.8
200080_s_at	26676.4	24909.5	26359.5	25891.7	20592	22468.5	26845	21417.2	31530.2	27386.7	30253.8	28038.9	26950.4	20334.9	29379.8	30042.4
200081_s_at	62482.5	66241.4	41413.8	53731.6	75659.7	61289.5	61551.5	73400.9	75206.6	54948.9	56599	71552.8	38749.1	56832.1	50026.1	52112.7
200082_s_at	50015.7	40125.2	30499.8	47391.8	59912.7	51790.4	53440.4	52141.3	51926.4	40728	40662	49793.8	34804.2	47463.7	36804.2	36462.6
200083_at	4089.5	2750	3138.2	3924.3	2637.5	3252.2	3388.6	2782.1	4741.1	3954.5	3049.2	4314.5	3163.7	3697	4185.4	3512.1
200084_at	8325.7	6857.8	10107.3	10434.9	7466.8	8710.2	7902.3	7874.5	5338.6	3922.9	8418.2	6431.6	9723.2	9988.1	5543.4	5437.8
200085_s_at	3344.4	4303.3	3367.4	5037.2	3976.1	3276.6	3736	4216.4	3010.4	3377.1	3774	6156.4	3626.7	4270.5	3682	3663.4
200086_s_at	14595.6	9510.1	10490.7	11460.2	10069.9	11509	13132.1	10611.6	15160.3	9638.4	8889.9	10764.3	8974.9	9670.6	6122.8	6240
200087_s_at	12360	12151.1	9771.2	11624.2	8603.4	8535.2	10365.4	8990	10770.8	6534.9	9353	7849	10735.7	8524.8	5446.7	5157.1
200088_x_at	70601.1	71098.4	45512.1	63681.7	79330.4	78875.2	70723.1	96358.1	73767.4	71413.4	58140.5	76060.5	41640.3	60476	56435.6	59425.2
200089_s_at	46194.9	44823.5	31059	41874.8	48770.5	37212	45301.1	47989.2	52667.2	37610.7	39600.1	56335.1	27713.7	42098.3	29841.3	31462.4
200090_at	7781	8904	8053	7121	8409.7	8614.7	7991.5	9152	3931.2	4424.8	8601.5	5080.6	7896	8191.1	5445	6860.3
200091_s_at	38069.4	34831.7	31845.2	37206.6	32840.6	33771.6	42312.8	38024.3	33060	27445.8	37436.4	28343.7	28099.8	33565.9	25031.3	22035.8
200092_s_at	56809.8	61955.6	45776.8	52757.9	56545	51834.5	55925.7	57388.6	55946.4	41806.9	56025	65002.4	39561.1	48084.3	39314.5	43678.4
200093_s_at	13618.7	10694.6	7606.6	10410.9	10315.4	8370	10812.4	9268.6	11354.6	6215.7	11866.1	10438.8	11773.8	12592.1	6358.9	7583.9
200094_s_at	23601.4	24579.9	11407.9	17891.6	25119.8	18404.8	20814.4	21428.8	37544.4	26393.1	24552.8	31700.3	15703.3	24604.5	25708.9	26034.2
200095_x_at	84068.6	87230.7	71847	78033.5	107595.2	106804.6	89741	111651.6	95208.1	76951.3	77761.5	104141.7	53919.2	71999.8	61967.6	79985.3
200096_s_at	4955.8	8536.7	13056.6	22733.4	10739.8	12321.7	12504.4	9486	5033.6	3672	13603.3	13896.5	12516.9	13869	7789.5	11693.2
