p1_good	p2_good	p3_good	p4_good	p5_good	p6_good	p7_good	p8_good	p1_poor	p2_poor	p3_poor	p4_poor	p5_poor	p6_poor	p7_poor	p8_poor
214417_s_at	226.6	395.4	255.3	141.6	188.9	283.6	201.7	208.6	520	647.4	164.8	295.5	274.5	108.2	492	377.8
214418_at	20.5	10.5	6.6	6.2	25.7	11.4	9.8	31.2	38.3	51.5	18.6	24	15.6	29.3	68.9	39.5
214419_s_at	202.7	276.1	178.4	115.8	193.6	349.6	37	310.7	146.3	453.6	149.1	384.1	228	198.2	338	294.1
214420_s_at	64.6	12.2	69.7	61.7	33.2	34.8	66.2	22.9	242.2	171.4	18.9	55.2	7.9	28.5	107.3	32.2
214421_x_at	336.2	405.9	321.6	269.2	251.9	342.4	385.6	338.8	403	877	256.7	483.1	286.6	274	724.3	521.6
214422_at	128.9	196.6	139.8	51.1	56.6	198.6	94.2	68.8	111	49.8	91.4	36.2	47.7	50.5	174.5	128.5
214423_x_at	237.3	373	344.3	305.2	304.9	456.8	315.1	276.6	540.4	886.1	243.2	703.8	305	282.8	571.8	584.1
214424_s_at	48.4	146.4	74.5	126	95.9	46.7	59.8	199.8	181.4	413.8	100.7	33.9	68.1	20.5	203.1	227.9
214425_at	212	210.4	276.4	214.3	130.6	260.3	202.1	188.4	384.6	580.1	158.3	270.4	247	162.4	407	469.2
214426_x_at	477.3	487.1	504.9	439.6	506.1	720.2	417.7	405.5	434	1061.9	707.4	399.6	540.1	430.7	423.6	507.2
214427_at	1607.3	1756.6	991.9	876.5	1435.7	1315.7	1191.7	1363.2	1947.4	2154.9	1388.9	1571.6	985.1	943.3	1316.7	1208.6
214428_x_at	321.9	283.5	224.6	255.5	90.6	429.5	202	278.8	357.1	1081.1	296.6	501.4	333.2	158.7	961.6	691.9
214429_at	5490.1	634.2	1168.9	915.4	678	729	1079.2	684.9	3520	2126.5	898.4	715.5	1549.4	853.9	528.4	512.1
214430_at	985.7	665.6	834	802.1	725.2	779.2	841.6	981.3	789.4	593.6	733.7	535.4	835.2	591.6	605.2	871.3
214431_at	853.3	1122.3	579.3	820.8	1035.9	677.4	838.2	1021.2	881.7	1118.6	738.4	1037.4	620.3	738.6	1030.8	738
214432_at	97.1	168.8	19.2	73.9	20.1	32.7	204.4	219.4	106	84.4	101.2	189	40.9	59.8	288	197
214433_s_at	71.8	113.8	23	58.4	23.1	141	75.1	121	35.4	44.4	75.2	205.7	59.7	53.1	186.8	128.5
214434_at	28.4	134.4	80.6	121.8	23.5	41.3	48.2	69.5	85.2	568.5	25.1	166.9	21.1	27.1	74.2	184.3
214435_x_at	587.3	661.5	817.9	587	472.7	574.3	679.9	382.9	710.9	563.9	728.5	412.3	782.3	497.7	445.2	585.9
214436_at	25.5	41.3	53.9	40.9	39.3	92.3	42.3	86.3	39.6	73.5	63.6	56.2	34	17.4	98.5	31.8
214437_s_at	1033.8	2923.2	595.7	1287.3	2127.1	1311.8	1036.5	1382.9	757.7	969.6	1872.9	1232.2	1002.1	1226.1	2085.3	1376.4
214438_at	198.2	526.7	321.3	249.7	271.4	369.4	155.2	184.5	434	637.8	513.2	326.9	125.7	124.3	405.4	682
214439_x_at	1185.9	1603.3	1170.5	1986.9	1310.5	1506.3	1842.7	1629.5	1508.9	1843.1	1261.1	2952.3	1467.8	1714.6	2136.7	3506.7
214440_at	845.6	449.8	920.8	616.7	675.6	641.3	574	687	314	617.7	1024.8	473.2	927.1	1417	580.6	1116.6
214441_at	273.5	259.4	254.8	203.7	194.7	486.3	357	162.7	459	134	184.7	313.1	281.5	197.9	406.5	421.4
214442_s_at	1755.5	1251.4	636.8	1014.9	1322	861.9	818.4	994.4	1070.3	820	826.9	767.2	912.1	780.1	663.3	578.3
214443_at	193.4	223.2	201.8	157.7	78.3	174.8	137.9	37.3	361.6	556.1	55.6	243.3	76.9	118.1	394.5	348.2
214444_s_at	19.2	36.1	28.3	19.9	18.4	83.9	45.6	23.2	24.5	85	57.2	26.7	83.5	33.9	66.2	13.3
214445_at	335.3	211.9	110.4	184.6	193.1	180.1	182.1	31.6	329	373.2	159.6	253.4	129.9	44.3	258.6	174.2
214446_at	856.8	49.1	134.9	33.8	356.1	46.9	76.5	130.9	422.7	88	39.7	77.5	47.6	67.5	63.2	48.2
214447_at	823	1294.6	1114.7	1972.9	1962.4	1291.5	1267.7	1494.9	1239.3	776.7	873.3	918.1	819.5	2120.4	1988.3	1447.4
214448_x_at	343.9	373.7	255.6	146.1	441.6	399.1	261.4	336.7	652.9	866.3	372.2	401.3	430.9	369	869.9	573.1
214449_s_at	324.9	1085.1	1043.3	651.7	654.6	1235.7	889.7	524.9	668.4	807.2	622.5	583.3	641.9	448.7	557.9	582.8
214450_at	16	27.1	15.9	42.1	16.8	12.7	33.6	21.9	40.2	105.1	11.6	56.1	30.7	11.1	74.5	60.4
214451_at	117.2	10.7	9.5	4.6	39.4	20.9	14.1	18.1	102.6	75.4	44.5	17.8	8.9	16.9	13.9	24.6
214452_at	53.4	676.2	245.5	129.9	18.1	128.6	99.1	71.4	207.7	445.3	421.5	156.8	447.2	716.1	112.1	194.5
214453_s_at	137.9	652.4	115	676.3	70.6	349.6	190.1	141.8	554.4	661.4	3716.3	239.4	182.9	1077.5	424	3240.1
214454_at	92.3	108.5	129.7	36.4	120.6	38.9	116.2	89	188.9	331.8	33.4	161.4	20.7	85.1	218.3	73.2
214455_at	1108.1	45.3	66.6	29.4	31.5	159.3	95.6	89.3	60.5	36.4	56.9	113.4	201.5	5.9	215.6	73.9
214456_x_at	47.6	49.6	37.7	73.1	44	59.9	44.8	49.5	52.3	113.1	22	55	21.6	54.6	52	35.6
214457_at	36.6	90.9	14.4	32.1	41.4	87.5	39.4	9	15.5	113.2	4.5	21.5	59.3	20.4	8.2	5.9
214458_at	200.7	289.2	62.5	91.4	107.3	97.4	67.8	124.9	95.5	333	130.2	287.4	232.8	150.6	220.1	145.7
214459_x_at	51182.9	48204.7	40702.4	53188.7	58408.6	69538.7	41042.2	60911.6	71230	90871.5	56312.7	46994.8	31294.5	34197.1	62194.7	81503.2
214460_at	11.4	11.2	16.4	13.3	14.8	21.2	17.9	30.3	15.9	74	17.3	25.3	14.7	10.5	34.8	29.8
214461_at	14.9	10	9.4	6.4	12.7	12.1	9.7	9.8	15.9	43.7	6.2	14	10.4	4.6	17.1	12.1
214462_at	112.9	84.5	155.6	125.8	97.3	186	159.7	89.3	135.9	371.1	86.4	239.6	42.9	141.7	265.8	182.4
214463_x_at	541.1	616.7	41.7	34.3	54.1	468.2	387.5	868.6	594.2	651.6	326.9	1098.6	253.8	498.8	253.2	255.2
214464_at	4.8	10.3	4.4	8.1	102.1	59.1	17.4	143.3	27.9	27.9	12.7	27.6	16.3	3.8	24	124.9
214465_at	20.6	41.6	25.1	18.1	87.9	61.7	41.6	47.4	58.6	88.9	25.6	68.9	35.5	17.1	40.7	59.6
214466_at	23.2	40	36.1	22.6	20.4	34.1	21	28.2	46.6	300.6	21.4	95.8	28.9	26.9	55.2	73.4
214467_at	382.2	610.3	1147.5	629.6	614.2	418.2	217.1	226.1	321.1	441.4	759.1	257	869	690.8	248.8	565.8
214468_at	7.7	10.7	9.3	12	10.2	15.4	11.7	6.7	21.5	24.8	18.2	15.4	3.5	5.5	25.6	6.1
214469_at	20	176.3	138.7	10.5	81.6	13.5	13.5	109	9.8	43.1	7.2	19.9	100.8	82.7	30.3	25.2
214470_at	37.5	61.6	119.4	29.1	23	25.9	130.9	92.6	165.8	59.3	30.8	265.7	90.7	27.2	143	117.7
214471_x_at	223	379.7	216.6	144.6	446.1	371.6	388.3	450	431.9	578	405.2	265.6	223.6	237.1	454.8	431
214472_at	21.9	136.3	195.5	9.6	83.1	12.3	7.3	7.7	158.7	39.5	68.3	22.4	61.4	122.1	155.5	21.8
214473_x_at	2395.6	2935.5	2470.5	1671.4	2869.8	2624	2224.3	3178.7	2294.3	3616.3	2612.3	2303.1	2422	2980.5	3731.4	3348.5
214474_at	353.7	422.4	257.7	289.8	321.7	448.6	437	378.3	416.1	392.3	306.2	377.5	402.4	320.5	650	457.6
214475_x_at	1060.3	1184.3	650	1145.3	1550.1	1041.1	1302.4	1343.8	1195.4	1138.6	1502.3	1614.1	1416.2	1301.9	1517.1	2525.4
214476_at	16	29.7	34.4	19.3	26.3	27.1	27.5	26.5	61.9	86.5	23.2	71.9	26.6	37.8	43.1	81.7
214477_at	10.3	12.7	7.1	8.6	13.9	9.8	11.9	15	13.2	65.2	8.9	13.5	8.4	9.2	10.6	11.7
214478_at	262.2	415.7	307	219.7	79.4	43	191.7	72.8	341.3	81.3	214.7	498.7	274.6	122.2	292.6	313
214479_at	19.9	28.1	56	27.2	26.7	58.3	50.6	55	68.1	150.5	39.4	80.2	48.7	46.4	75	90.3
214480_at	12.4	24.7	37.8	15.7	11	28.5	13.5	20.4	35.6	54.4	9	22.3	31.4	4.7	25	20.4
214481_at	187	172	71	63.9	37.1	111.4	28.8	80	118.6	488.1	147.3	235.9	20.8	102.8	182.5	262.4
214482_at	881.3	916.5	793.6	807.2	829.1	1176.5	1243.3	1243.9	655.9	1025.5	704.7	778.2	810.9	727.8	523.2	484.8
214483_s_at	385.8	661	803.8	692.9	866.8	840.1	741.7	643.6	246	604.5	626.4	363.6	999.6	983.3	707.6	800.9
214484_s_at	29.6	317.4	163.9	40.2	268	307.6	243.7	190.2	167.9	126.8	297.9	346.1	343.4	320.9	451.5	322.6
214485_at	126.3	193.7	155.2	101.8	257.4	295.9	60.8	93.1	192.7	253.9	166.5	189.5	136.9	77.5	352.9	370.7
214486_x_at	762.2	1019.1	792.5	714.9	973.9	1076.6	1199.5	1190.7	922.3	1316.3	985.3	797.5	1025.9	603.2	951	1633
214487_s_at	242	388.6	182.1	249.4	211.6	188.6	190.4	179.6	527	131.9	279.4	488.4	264.4	168.8	561.5	466.3
214488_at	42.7	89.4	15.7	11.3	105.2	5.4	9.3	19.7	132.5	100.9	30.7	24.8	15.8	38.7	24.8	64.2
214489_at	24.7	137.7	78.4	32.3	284.9	342.6	80.2	230.6	179	128.7	170.6	25.1	166.4	57.6	122.9	130.1
214490_at	47.9	21.6	43.6	43.4	134.4	42.2	303.1	47.2	72.1	80.7	146.4	125.9	48.8	29.4	85	100.7
214491_at	22.7	32.1	19.6	54.1	79.6	79.9	32.6	59.6	47.4	96.5	18.8	66	34.4	19.6	71.9	86.7
214492_at	72.1	51.4	38.5	95	25.3	42.9	213.4	75.3	114.7	89.8	27.9	357.1	44.5	25.7	464.1	79.5
214493_s_at	26.6	25.5	86.6	11.6	121.9	74.4	229.6	84	103.5	198.9	117.4	124.2	103.1	70.6	169.2	12.2
214494_s_at	1389	1543.9	1238	1287.9	1155.8	1972.5	1476.6	1208.5	1196.7	1295	990.9	1934.3	876.6	1712.6	2262.7	2341.5
214495_at	94.2	25.5	151.1	63.4	67.6	51.7	25.8	32.9	231	148.7	90.8	33.9	82.5	68.8	52.5	151.3
214496_x_at	1455.7	977.2	819.7	765.7	1330.7	1084.5	1126	1282	1217.7	2211.5	603.9	1265.8	652.2	1020.1	1466.5	930
214497_s_at	6.2	15.4	9.6	7.1	6.6	7	11.7	9.8	10.5	38.7	5.2	8.3	5.9	4.4	8.5	8.1
214498_at	101.8	160	195.4	114	148.2	278.5	211.3	37.8	255.3	232.1	82.1	33.3	40.6	115.9	166	383.7
214499_s_at	4451.4	1981.5	2277.9	2198.8	2179.5	1969.7	2317.1	1863.1	3517	2379.4	1591.4	1424.4	1602.9	2255.5	1074.9	875.2
214500_at	290.7	116.8	107.6	240.7	260.7	81.8	120.4	156.3	71	114.7	81.5	147.1	284.2	211.1	123.2	279.4
214501_s_at	2526.8	1486.7	858	1292.5	2071	1622.3	1630	2010.8	2121	2207	1333.7	2402.1	2365.9	1461.8	2248.4	1796
214502_at	34.8	13.4	6.8	9.4	17	15.3	12.7	23.1	6.3	37.2	7.5	19.5	8.5	5.5	19.6	16.5
214503_x_at	12.2	23.3	13.1	22.1	29	8	13.7	18	21	47	9.2	32.9	16.6	13.1	27.7	24.9
214504_at	18.5	17.6	14.6	13.4	10.1	19.8	17.2	46.1	27.5	180.5	15.8	59.2	19.5	12.2	36.2	23.5
214505_s_at	169.9	662.7	278	155	334.6	299.6	332.2	264.4	397.7	605.5	232.3	296	104.9	303.8	290.4	470.9
214506_at	226.3	417.5	329.2	247.8	336.8	341.7	306.1	362.2	244.9	714.1	318	341.8	367	239	837.9	415.8
214507_s_at	174.1	110.3	203.1	554.5	571.3	185.1	210.9	412.6	75.8	85.5	252.1	98.3	229.3	615.8	583	557.6
214508_x_at	1889.2	236	368	379.8	385.6	170.3	172.4	211	1231.5	237.7	195.9	395.4	461.2	196.8	52.4	412.7
214509_at	101.9	29.9	13.8	23.9	21.5	110.4	170.6	203.7	200.2	42.5	73.5	26	95.6	7.7	37.3	64.1
214510_at	36.9	40.7	34.1	40.3	29.6	47.4	86.3	30	258.3	48.5	23.1	61.2	86.7	32.6	38	62.7
214511_x_at	29.7	233.4	167.3	278.6	22.6	39.5	51.6	53	700.6	172.1	118.7	445.2	145.4	87.9	267.4	128.7
214512_s_at	8637.2	5177.3	7281.4	5446.3	7383.8	3633	4019.2	7614.5	5974.3	3802.9	10714.2	4069.8	9200.7	6423.4	2899.1	3891.2
214513_s_at	1139.2	1409.9	983.7	1210.3	1098.6	905	1396.2	1197.2	888.5	952.1	948.7	928.6	1016	1121.3	775.9	851.5
214514_at	18.6	48.8	25	26.4	62.3	42.9	26.3	32.5	23.2	228	20.6	14.1	47	96.5	35.2	104.9
214515_at	74.8	97.5	127.2	33.5	105	96.7	115.7	124.3	213.5	209.4	109.6	17.6	117.2	59.3	104.4	29
214516_at	368.7	103	306.4	42.7	14.1	79.7	139.7	228.7	192.3	449.9	18.9	100.9	35.8	60.8	233.2	175.7
214517_at	32	35.6	29.7	39	71.6	39.5	50.3	29.7	28	100.5	25.4	29.5	37.4	15.2	42.9	90.1
214518_at	145.7	134	43.7	57.2	136.7	32	46.4	92.3	286.8	258.5	110.6	361.2	113.4	16.5	284.3	329.4
214519_s_at	166.8	194.8	137.1	264.8	291.6	509	230.3	269.5	282.3	530.1	44.7	219.3	109.9	129.7	317.9	176.6
214520_at	13.5	33.1	17.4	37.8	107.4	128.4	41.3	8.7	92.4	151	53.7	27.9	80	21.3	211.6	69
214521_at	39.7	9.9	113.9	54.3	8.3	137.4	105.4	8.4	16.1	183.7	91.2	155.9	32.9	36.6	122.1	15.6
214522_x_at	22.6	36.6	37.7	17.3	20.6	33.6	17	31.9	24.5	62.6	26.6	32.9	35.9	14.6	32.3	11.9
214523_at	239.7	223.7	363.5	275.6	246.8	522.5	86.4	207.1	66.2	261.5	318.1	405.5	245	311.1	531.2	534.1
214524_at	8.4	95.7	148.8	32.9	7.3	171.3	36.5	130.8	176.6	520	94.6	12.9	142.4	33.7	233.4	94.1
214525_x_at	280.6	394	314.7	224.7	254.8	389.7	411.8	574.1	411.4	643.9	303	483.8	470.9	395.6	570.3	834.1
214526_x_at	2129.8	3347.5	2751.3	2201.2	2338.8	2874.7	2435.8	3155	1817	3525	2147.6	2887.1	2196	2353.2	4146.4	2882.7
214527_s_at	1434.6	1370.8	860.1	2225.9	1580.6	1508.6	996.8	970.1	3007.1	1481	1149.2	2991.8	835.8	1879.5	1032.8	2007.7
214528_s_at	67	55	12.4	9.6	15.8	5.6	10.1	5.5	34	35.1	3.5	32.7	24.9	4.3	35.4	14.1
214529_at	266.8	268.2	269.5	266.1	282.1	296.1	245	310.8	378.1	776.6	156.6	512.5	233.3	226.2	597.7	567.5
214530_x_at	138.1	57.9	70.2	440.9	458.5	466	333	202.3	22.9	105	174.2	508.7	263.7	750.8	478	492.5
214531_s_at	269.1	575.7	731.4	447.3	432.3	290.7	375.4	421.9	160.1	484.3	1225.4	272.4	582.4	831.6	226.7	356.1
214532_x_at	502.6	424.4	584.1	310.6	586.2	776.9	110.2	755.8	738.6	941	436	319.1	337.4	398.2	834.6	583.3
214533_at	24.2	128.6	105.5	24.6	43.4	87.8	73.9	132.3	39.6	370.3	117.2	33.3	71.3	43.8	194.6	139.1
214534_at	116.9	124.1	21.5	15.3	9.6	18.8	33.3	234.8	13.2	62.8	7.2	35.6	17.4	62	20.8	18.1
214535_s_at	175.2	189.4	234.2	270.8	237.1	144	298.5	286	570.6	933.2	124.5	491.4	260.9	197.7	550.2	665.3
214536_at	42.3	59.1	72	112.3	27	126.3	34.7	41.1	54.6	90.7	136.2	145.4	69	38.8	315.6	210.8
214537_at	189.9	177.6	792.4	104.4	153.9	101.8	53.2	37.8	73.9	46	40.3	109	188.8	101.4	134.8	90.9
214538_x_at	49.7	71	32.7	27.5	39	50.3	32.4	58.1	50.6	77.2	36.2	87.9	47.6	29.7	66.3	68.7
214539_at	96	126.4	67.8	95.3	48.4	188.8	64.8	107	334.9	457.3	138.4	189.4	184.7	47.7	306.6	158.6
214540_at	6.1	22.3	7.9	6.5	4.5	17.7	17	10.2	8.5	326.2	10.8	22.1	4.2	9.7	28.4	9.8
214541_s_at	92.7	164.8	30	20	25.3	28.2	22.5	16.8	25.7	59.1	25.8	26.2	25.7	13.8	40.8	69.9
214542_x_at	254.8	53.2	43.2	21.6	133.1	67.3	103.5	427.7	43.4	514.8	195.1	105.1	99.2	74.8	77.1	79.8
214543_x_at	1191.7	1067.9	726.9	998.3	1164.4	885.3	1108.6	855.4	1131.1	1149.5	617.7	1119	759.1	727.4	860.2	742.7
214544_s_at	1151.4	1590.6	2871.1	2541.7	2109.1	1794.2	1903.4	2101.7	770.5	1480.7	2232	1968.1	2613	2667	1504.5	1671.2
214545_s_at	237.1	486.2	566.5	604.1	417.1	612.1	562.4	454	210.7	215.5	450.7	704.6	495.4	811.7	499.6	690.2
214546_s_at	116.7	14.3	30.3	51.8	35.2	50.3	8.1	195.1	73	63.8	47	66.4	35.3	81.8	185.5	28.2
214547_at	24.4	21.5	22.2	47.9	39.5	117.6	97.2	48.5	18.4	394.1	72.1	70	48.5	20.8	104.1	159.9
214548_x_at	32910.1	24736.6	14027.3	22143.1	26756.7	21764.8	19837.6	28381.5	32406.5	44876.4	22549.3	25223.5	18997.9	20669.8	29901.6	34077.2
214549_x_at	302.9	374	144	410.9	390.9	419.1	473.5	442	653.5	843.2	296	389	263.4	188.2	539.7	698.5
214550_s_at	655.8	470.5	483.6	763.3	1019.7	756.3	600.2	789.9	409.9	78	333.8	678.8	570.3	652.5	481.1	619.6
214551_s_at	12.8	24.4	7.6	14.4	49.8	34.4	24.9	17.6	22.9	57.3	80.2	29.4	23.5	16.8	20.8	20.5
214552_s_at	1105.8	1114.1	1241.4	1046.3	1170.3	932.5	925.2	1573.9	1276.2	1111.5	1598.1	1137.5	1018.6	1365.5	1086.1	1120.7
214553_s_at	1837.5	1044.5	1227.3	1096.6	1041.3	1477	1237.3	1271.7	1703.8	1933.9	1412.2	1212.6	1262.8	1608.5	1032.1	1265.3
214554_at	140.5	44.8	68.6	44.2	28	55.9	62.7	63.6	221.6	283.8	60.8	39.1	48.4	41.9	127.8	160.3
214555_at	16.4	28	29.9	74.4	24.7	16.9	73.1	67.8	16.9	128.1	36.8	26.2	79.2	27.6	58.6	24.3
214556_at	191.6	102.4	366.5	278.1	181.2	411.6	328.5	264.5	71.5	514.6	41.4	40.1	180	185.7	668.1	336.7
214557_at	48.9	161.6	61.7	75.5	57.2	116	150.8	138.6	109.7	392.2	21.6	162.5	159.3	81.1	185.3	188.5
214558_at	271.7	543.8	308.7	279.7	305.2	445.5	348.2	312.1	630.6	902.1	285.8	504.3	421.6	245	547.6	493.6
214559_at	21	13.4	93.7	17.2	108.1	60.6	23.4	8	14.8	46.3	131.6	22	11.2	7.5	25.1	243.1
214560_at	107.4	268.5	152.9	113.2	197.3	217.5	277.4	148.9	283.1	360.7	111.5	250.2	118.4	164.5	313.6	308.6
214561_at	131.2	202.1	109	68.5	87.3	197.8	62	17.1	140	340.5	15.4	129.7	150.8	103.4	360.8	152.3
214562_at	18	41.5	14.4	13.2	9.6	169.7	88.9	32.4	99.7	54.9	19	22.2	16.4	98.7	21.9	85.6
214563_at	152.1	22.9	155.7	19.3	34	254.3	257.1	231.5	117	98.2	82.6	252.6	167	48.3	348.1	230.8
214564_s_at	128	218	125.3	127.8	175	43.2	172.9	178.4	249.6	501.5	173.2	224.2	142.7	172.4	350.6	267
214565_s_at	83.1	24.4	109.6	9.9	24.5	66.2	127.6	49.4	141	92.3	15.1	30.2	18.7	13.5	53.2	21.3
214566_at	46.9	15.3	37.2	11.3	39.7	79.9	112.5	62.8	118.2	52.5	6.9	32.9	19	12.6	28.4	174.4
214567_s_at	5.4	10.5	13.8	8.3	8.2	9.9	12.6	15.4	19.9	63.3	13.3	23.5	15.3	6.4	28.5	13.4
214568_at	56.6	102.6	23.3	20.6	44.8	39.6	80.2	177.8	37.1	88.9	27.7	37.2	60	29.9	30.9	31.7
214569_at	144.6	103.4	69.2	119.3	137.7	149.3	101.2	90.8	223.7	324.9	73.1	170.6	54.4	46.9	239.7	121.2
214570_x_at	35.7	44.6	25.2	18.9	53.2	51.5	56.8	59.2	73.5	71.5	40.9	84.4	19	35.3	51.5	55.8
214571_at	9.2	8.5	47.4	20.2	87	13	101	21.1	23.1	50	6.5	11.5	8.2	11.9	16.4	21.9
214572_s_at	195.8	313	212.4	224.9	62.5	100.7	242	123.8	405.8	219.7	117	230.7	176.2	98	304.8	459.8
214574_x_at	42.9	68.8	36.2	78.3	57.1	102.3	95.2	80.9	130.6	186.1	145.9	755	428.3	103.1	157.9	408.1
214575_s_at	73.3	165.3	73.5	80.1	11.3	99.8	67.4	98.2	58.6	286.4	30.5	175.9	105.7	45	285.7	240
214576_at	26.5	13.5	7.4	6.9	7.8	18.5	8	7.7	18.7	37.7	6.2	25	5.5	3.6	12.7	32.1
214577_at	29.5	20.8	26.8	7.8	41.3	37.7	24.1	46.5	100.4	66.3	53	13.7	14.6	44.9	63.7	29
214578_s_at	2216.2	2681.3	2314.8	1891.9	1620.4	2569.4	1633.9	1997.5	3046.5	3889.6	1871.3	1816.5	2491.3	1590.4	2056.1	2036
214579_at	157.6	34.8	169.2	50.8	204.6	111	109.1	152.3	31.4	95.4	368	143	60.8	119.8	103	49.9
214580_x_at	22.6	20.9	27.7	16.6	12.8	54.5	35.3	17.1	44.6	68.9	12.8	23.3	12.3	13.1	59.2	40.8
214581_x_at	10.5	9.4	10.9	54.5	6.2	79	56.5	7.8	158.7	338.8	6	167.2	87.1	4	75.9	20.7
214582_at	106.8	183.3	97.4	59	94.3	157.8	167.9	136.5	284.7	257.2	74.9	212.1	96.2	76	434	193.3
214583_at	337.1	288.5	311.4	305	258.7	360.3	318.3	407	369.7	561.3	309	175.4	496.3	268.5	370.6	295
214584_x_at	31.5	65.9	126.4	43.7	19.7	53.1	46.3	27.7	202.6	47.8	24.8	56.8	34.1	24.4	90.4	58.5
214585_s_at	1367.8	1675.8	1867.1	1653.4	1372.4	1631.3	1532.9	1517.2	1720.6	1083.3	1530.4	1957.1	1166.6	1776.9	2078.9	2510.4
214586_at	3.5	53.1	1.2	1.6	1.8	5.3	1.4	9.2	4.2	19.2	0.8	5.5	2.5	4.6	4.8	6.5
214587_at	16.4	46.1	3.6	39.3	75.9	75.2	36.2	89.7	28.8	84.4	36.5	57.4	49.2	6.9	25.3	28.7
214588_s_at	56.2	91.4	227.6	221.3	118.2	161.1	43	235.5	214.9	156.5	134.1	172.3	150.2	250.1	93.9	156.4
214589_at	93.8	21.9	28.1	10.7	11.3	31	48.7	4.4	27.4	276.5	15.2	16.1	77.9	53.8	26.9	12.7
214590_s_at	159.7	195.1	303.8	202.1	213.2	119.5	149.9	144.4	160.7	153.8	327.4	113.6	303.2	234.3	134.6	58.8
214591_at	134.5	152.2	138.7	66.1	69.7	132	94.3	136.7	163.8	484	85.2	58.6	121.2	141.4	226	292.9
214592_s_at	5.3	20.1	26.6	61.3	128.5	34.8	47.1	80.6	21.7	109.7	63.9	90.9	89.8	125.7	120.6	58.2
214593_at	89.9	63.8	236.8	272.8	259.6	186	430.6	171.3	11.7	83.4	245.5	235.9	199	128.3	47.7	205.1
214594_x_at	3133.8	2697	2226.4	1124.5	1760.7	2438.2	2493.6	2840.3	2698.9	4286.8	2611.9	1610.5	2576.5	1673.7	4716.2	1729.1
214595_at	8.6	80.7	5.9	33.1	144.4	15.4	39.7	54.1	10.4	389.4	23	115.4	88.5	67.2	37	20.5
214596_at	14.3	42.2	9.2	7.9	18.9	17.2	51.2	24.1	35.3	52.3	10	44.7	26.3	25.8	45.2	34.9
214597_at	26.8	118	108.8	70.7	101	163.1	133.9	130	70	62.9	60.3	30.3	25.8	78.1	148.1	129.5
214598_at	139.5	147.5	119.9	133.3	60.9	205.1	101.9	95.1	124.6	64.3	77.4	197.8	102.1	72.8	181	262.8
214599_at	179.7	381.9	194	170.2	141.4	284.9	263.2	253.7	509.7	577.8	212	478.4	264.7	167.7	562	354.5
214600_at	168.1	209.7	113.5	173	73	36.6	306.1	74.7	215	498.6	4.4	319.9	212.6	124.2	323.6	319.3
214601_at	174.5	19.6	187.3	124.2	63.3	163	257.3	90.5	158.6	29.5	43.6	42.3	73.2	115.5	185.4	107.9
214602_at	132.5	249.4	11.1	28.3	401.8	274.4	49.9	146.2	73.1	30.2	94.6	35.7	282	218.5	44.1	440.7
214603_at	61.3	12.7	3.6	30.5	7.5	32.9	26.9	8.8	47.1	111.8	18.4	10.9	3	2.3	13.6	13.3
214604_at	85	137.3	118.5	27	121.2	125.7	78.3	72.7	103.6	150	18.5	23.3	55.3	25.2	129.9	102.9
214605_x_at	121.2	210.8	139.6	76.7	42.9	176.7	154.7	165.9	212.2	120.5	110.6	252.6	142.9	108.2	418.8	118.7
214606_at	40.3	71.7	23.3	23	34.6	45.5	17.4	5.7	62.7	18.9	17.2	59.5	38	12.7	41.5	63.7
214607_at	240	191.4	195.6	183.2	216.9	223.3	187.1	233.1	208.2	371.3	143.7	202	192	70.1	224.4	347.2
214608_s_at	34.4	44.9	102.2	22.1	33.9	21.2	41.1	95.5	131.4	262.4	84.3	56.6	35.6	14.6	96.6	67.6
214609_at	116.2	196.7	161.3	174.9	37.6	245.7	220.9	243.5	252.6	161	164.7	258.5	244.8	167	162.5	398.8
214610_at	204.8	176.2	106.7	184.9	109.6	212	27.5	166.5	413.7	890.6	65	363.7	191.1	31.7	424.1	234.1
214611_at	173.4	196.2	111.3	110.4	310.7	177.7	444	266.9	260.7	415.2	232.8	179.4	299.3	183.4	358	450.8
214612_x_at	28.6	36.1	91.9	33.4	4.6	22.7	35.1	18.5	63.3	75.2	23.5	99.6	11.8	20.8	144.6	181.5
214613_at	26.1	95.2	32.3	118.6	29.5	34.8	37.8	72.9	519.4	161.9	158.6	100.2	23.3	121.5	57.8	45.4
214614_at	89.4	131	123.6	115.8	133.9	212.2	168.1	76.3	215.8	139.9	102.2	94.3	154.8	27.6	52	139.4
214615_at	1831.7	1224.4	3507.2	1897.1	1248.2	1548.6	1424.6	1198.5	2482.5	872.3	1712.4	1222.6	2282.5	1257.3	1552.9	1119.4
214616_at	363.8	439.9	305.8	292	269.1	295.8	470.7	412.1	399.7	414.5	206.5	243.2	369.8	254.5	744	678.2
214617_at	32.2	45.6	234.8	30.4	129.8	38.3	142.7	75.8	246.8	75.7	668.9	430.4	133	121	570.7	2403.5
214618_at	115.5	123.9	99.1	49.6	67.9	93.3	91.9	52.4	157.4	322.3	108.6	84.4	123	105.3	287.4	195.3
214619_at	195.5	290.1	189.3	116.2	107.1	140.2	244	226	242.9	84.9	311.8	126.8	192.2	239.1	191.7	184.6
